subject,rep,total,unique,correct,incorrect,accuracy,p31,p32,p33,p31_mean_rt,p32_mean_rt,p33_mean_rt,p31_std_rt,p32_std_rt,p33_std_rt,dummy_p3_,mean_rt,std_rt,mean_acc,std_acc
y01,rep2,48,24,48,0,1.0,12,12,12,628.0,559.6666666666666,531.1666666666666,62.88662236698098,64.73629491087576,72.0048399046687,0,628.0,62.88662236698098,0,0
y02,rep1,48,24,46,2,0.9583333333333334,11,12,12,917.7272727272727,679.0,553.25,165.88676313020932,140.39489760218237,45.57336742201324,1,,,0,0
y02,rep2,48,24,48,0,1.0,12,12,12,691.8333333333334,581.4166666666666,536.1666666666666,93.24145911004234,56.60783487907809,41.86305234350633,0,691.8333333333334,93.24145911004234,0,0
y03,rep1,48,24,42,2,0.875,10,11,11,1275.7,1136.8181818181818,1073.1818181818182,412.939341792472,400.60175191374736,211.23390740211107,4,,,0,0
y03,rep2,48,24,41,6,0.8541666666666666,10,10,10,1336.7,1215.3,1157.5,300.0300170168164,386.70030026135515,262.26841636427025,6,1336.7,300.0300170168164,0,0
y04,rep1,48,24,42,1,0.875,10,12,10,856.2,757.4166666666666,886.0,134.67640228834946,129.36239325197562,288.01813214526,4,,,0,0
y04,rep2,48,24,45,1,0.9375,12,12,10,898.25,742.9166666666666,825.0,207.07843265952945,106.23426799752374,287.2880861512437,2,898.25,207.07843265952945,0,0
y05,rep1,48,24,37,8,0.7708333333333334,9,10,10,658.7777777777778,639.1,714.8,76.9671647161596,145.9402084569035,229.26491227398927,7,,,0,0
y05,rep2,48,24,32,4,0.6666666666666666,6,7,10,705.0,690.7142857142857,827.4,72.23295646725254,118.81177591147308,288.0610274847251,13,705.0,72.23295646725254,0,0
y06,rep1,48,24,46,2,0.9583333333333334,12,12,12,798.9166666666666,624.8333333333334,595.0,180.00679700971565,65.9915054221283,60.52046986538747,0,,,0,0
y06,rep2,48,24,46,2,0.9583333333333334,11,12,12,722.6363636363636,605.6666666666666,611.5833333333334,164.4787358458672,50.46570993048526,85.13033679261606,1,722.6363636363636,164.4787358458672,0,0
y07,rep1,48,24,47,1,0.9791666666666666,12,12,12,879.8333333333334,753.0833333333334,775.0833333333334,120.08544937466466,91.34694932790667,147.24219894960532,0,,,0,0
y07,rep2,48,24,42,6,0.875,11,10,11,924.2727272727273,751.1,698.6363636363636,147.03883222406992,157.13225144585832,100.47613918465689,4,924.2727272727273,147.03883222406992,0,0
y08,rep1,48,24,48,0,1.0,12,12,12,698.8333333333334,621.75,594.9166666666666,149.1008403935424,86.06036464968275,62.42880793837138,0,,,0,0
y08,rep2,48,24,45,1,0.9375,12,11,11,703.5833333333334,615.9090909090909,564.0,154.35699962532743,59.463357701116315,43.20648099533217,2,703.5833333333334,154.35699962532743,0,0
y09,rep1,48,24,41,7,0.8541666666666666,10,10,10,889.0,733.6,641.7,162.7936662704596,154.36335201220672,59.177792381189,6,,,0,0
y09,rep2,48,24,45,3,0.9375,11,11,11,752.1818181818181,771.4545454545455,704.2727272727273,161.8071804227601,103.24084815262187,195.5848107134554,3,752.1818181818181,161.8071804227601,0,0
y10,rep1,48,24,45,3,0.9375,11,12,12,796.1818181818181,696.75,762.0,156.43005988736192,110.72827100609852,160.21519619221235,1,,,0,0
y10,rep2,48,24,44,1,0.9166666666666666,11,11,10,844.7272727272727,711.0909090909091,720.0,116.99922299664294,117.83756153744402,152.53269230634533,4,844.7272727272727,116.99922299664294,0,0
y11,rep1,48,24,45,3,0.9375,11,12,12,829.1818181818181,649.6666666666666,666.5,299.04876464610857,107.0737497185369,155.77402047371524,1,,,0,0
y11,rep2,48,24,45,3,0.9375,12,12,11,770.75,638.6666666666666,624.8181818181819,134.59374901059584,68.49065408484356,82.08753642523105,1,770.75,134.59374901059584,0,0
y12,rep1,48,24,47,1,0.9791666666666666,11,12,12,715.9090909090909,618.0833333333334,568.3333333333334,126.35145788272848,81.8740255551543,88.23659654416058,1,,,0,0
y12,rep2,48,24,44,4,0.9166666666666666,12,10,10,830.6666666666666,615.2,597.5,275.7104322006014,99.34093930612002,113.50599592581491,4,830.6666666666666,275.7104322006014,0,0
y13,rep1,48,24,47,0,0.9791666666666666,11,12,12,742.0,642.75,602.5833333333334,93.95743717237076,66.85414925587845,36.674138357191495,1,,,0,0
